TI,AU,DO,YR,Title Screen,Abstract Screen,Data Screen,Data Extracted
a comprehensive genomics solution for hiv surveillance and clinical monitoring in low income settings,Bonsall D,10.1128/JCM.00382-20,2020,NR,,,
a participatory approach to improving retention in hiv treatment and care for newly diagnosed patients in a secondary health facility in sierra leone,Ameyan,10.4172/2155-6113.1000686,2017,NR,,,
a phylogenetic analysis of human immunodeficiency virus type 1 sequences in kiev: findings among key populations,Fearnhill E,10.1093/cid/cix499,2017,NR,,,
a phylotype-based analysis highlights the role of drug-naive hiv-positive individuals in the transmission of antiretroviral resistance in the uk,Mourad R,10.1097/QAD.0000000000000768,2015,NR,,,
a population-based approach to determine the prevalence of transmitted drug-resistant hiv among recent versus established hiv infections: results from the canadian hiv strain and drug resistance surveillance program,Jayaraman GC,,2006,NR,,,
a population-structured hiv epidemic in israel: roles of risk and ethnicity,Grossman Z,10.1371/journal.pone.0135061,2015,NR,,,
a positively selected apobec3h haplotype is associated with natural resistance to hiv-1 infection,Cagliani R,10.1111/j.1558-5646.2011.01368.x,2011,NR,,,
"a potential gene target in hiv-1: rationale, selection of a conserved sequence, and determination of nmr distance and torsion angle constraints",Mujeeb A,10.1021/bi00154a002,1992,NR,,,
"a public health model for the molecular surveillance of hiv transmission in san diego, california",Smith DM,10.1097/QAD.0b013e32831d2a81,2009,NR,,,
a radiolabeled oligonucleotide ligation assay demonstrates the high frequency of nevirapine resistance mutations in hiv type 1 quasispecies of nvp-treated and untreated mother-infant pairs from uganda,Troyer RM,10.1089/aid.2007.0138,2008,NR,,,
a human immunodeficiency virus type 1 isolate from an infected person homozygous for ccr5delta32 exhibits dual tropism by infecting macrophages and mt2 cells via cxcr4,Naif HM,,2002,NR,,,
a randomized trial of treatment interruption before optimized antiretroviral therapy for persons with drug-resistant hiv: 48-week virologic results of actg a5086,Benson CA,,2006,NR,,,
"a recent outbreak of human immunodeficiency virus type 1 infection in southern china was initiated by two highly homogeneous, geographically separated strains, circulating recombinant form ae and a novel bc recombinant",Piyasirisilp S,,2000,NR,,,
racial differences in dermatologic conditions associated with hiv: a cross-sectional study of 4679 patients in an urban tertiary care center,Bender AM,10.1016/j.jaad.2019.08.072,2020,NR,,,
a retrospective molecular study of cryptosporidium species and genotypes in hiv-infected patients from thailand,Sannella AR,10.1186/s13071-019-3348-4,2019,NR,,,
a retroviral promoter and a cellular enhancer define a bipartite element which controls env ervwe1 placental expression,Prudhomme S,10.1128/JVI.78.22.12157-12168.2004,2004,NR,,,
a sensitive in-house rt-pcr genotyping system for combined detection of plasma hiv-1 and assessment of drug resistance,Steegen K,,2006,NR,,,
associations between physical activity and sedentary time on components of metabolic syndrome among adults with hiv,Jaggers JR,10.1080/09540121.2014.920075,2014,NR,,,
a single-tube real-time rt-pcr assay for rna detection and quantification of genetically diverse hiv including rare hiv-1 non-m groups and hiv-2,Prasolova MA,10.3103/S0891416814040089,2014,NR,,,
"a six-month, supervised, aerobic and resistance exercise program improves self-efficacy in people with human immunodeficiency virus: a randomised controlled trial",Fillipas S,,2006,NR,,,
a small-molecule inhibitor of hiv-1 rev function detected by a diversity screen based on rre-rev interference,Prado S,10.1016/j.bcp.2018.07.040,2018,NR,,,
a strain-specific approach to hiv-1 vaccine design: a study of the saskatche wan epidemic and botswana acute infection cohort,Scott JK,,2012,NR,,,
"a study of knowledge, sexual behaviour and practices regarding hiv/aids among long distance truck drivers",Sanjeev K,,2009,NR,,,
"a study of potential hiv transmission hotspots among men who have sex with men and transgender women in lima, peru",Villaran M,10.7448/IAS.19.6.21264,2016,NR,,,
"epigenetics, n-myrystoyltransferase-1 and casein kinase-2-alpha modulates the increased replication of hiv-1 crf02_ag, compared to subtype-b viruses",Bhargavan B,10.1038/s41598-019-47069-9,2019,NR,,,
a subset of cd4/cd8 double-negative t cells expresses hiv proteins in patients on antiretroviral therapy,DeMaster LK,10.1128/JVI.01913-15,2015,NR,,,
"a sudden epidemic of hiv type 1 among injecting drug users in the former soviet union: identification of subtype a, subtype b, and novel gaga/envb recombinants",Bobkov A,,1998,NR,,,
"a surveillance of hiv-1 drug resistance mutations among hiv-1 infected voluntary blood donors and clinical patients in chengdu, sichuan, china",Zeng PB,10.1111/j.1423-0410.2012.01615-2.x,2012,NR,,,
the hiv-1 accessory protein vpu downregulates peroxisome biogenesis,Xu Z,10.1128/mBio.03395-19,2020,NR,,,
a tale of two epidemics: gender differences in socio-demographic characteristics and sexual behaviors among hiv positive individuals in mexico city,Bautista-Arredondo S,10.1186/s12939-015-0286-4,2015,NR,,,
a tamb homolog is involved in maintenance of cell envelope integrity and stress resistance of deinococcus radiodurans,Yu J,10.1038/srep45929,2017,NR,,,
a transmission-virulence evolutionary trade-off explains attenuation of hiv-1 in uganda,Blanquart F,10.7554/eLife.20492,2016,NR,,,
a uniquely prevalent nonnucleoside reverse transcriptase inhibitor resistance mutation in russian subtype a hiv-1 viruses,Kolomeets AN,10.1097/QAD.0000000000000485,2014,NR,,,
a useful humanized mouse model for hiv-1 cure research,Chen Z,10.1007/s11481-017-9751-8,2017,NR,,,
a vaccine encoding conserved promiscuous hiv cd4 epitopes induces broad t cell responses in mice transgenic to multiple common hla class ii molecules,Ribeiro SP,10.1371/journal.pone.0011072,2010,NR,,,
a vertically transmitted hiv-1 gag-subtype variant detected in taiwan,Guo HG,,1992,NR,,,
a viral genome wide association study and genotypic resistance testing in patients failing first line antiretroviral therapy in the first large countrywide ethiopian hiv cohort,Telele NF,10.1186/s12879-019-4196-8,2019,NR,,,
"a wandering bus for the prevention of hiv and sexually transmitted diseases: the project ""parliamonetour"" (let's talk tour) of the cotugno hospital",Franco A,10.1007/s15010-011-0090-z,2011,NR,,,
a zika virus envelope mutation preceding the 2015 epidemic enhances virulence and fitness for transmission,Shan C,10.1073/pnas.2005722117,2020,NR,,,
absence of detectable viremia in a perinatally hiv-1-infected teenager after discontinuation of antiretroviral therapy,Feeney,10.1016/j.jaci.2006.05.016,2006,NR,,,
accelerated viral load increase and cd4 decline in hiv-1 superinfected women,Ronen K,,2014,NR,,,
acceptability and feasibility of dual hiv and syphilis point-of-care testing for early detection of infection among pregnant women in china: a prospective study,Wang Q,10.1136/bmjopen-2017-020717,2018,NR,,,
acceptability of lifelong treatment among hiv-positive pregnant and breastfeeding women (option b+) in selected health facilities in zimbabwe: a qualitative study,Chadambuka A,10.1186/s12889-017-4611-2,2017,NR,,,
acceptability of routine point-of-care early infant diagnosis in eight african countries: findings from a qualitative assessment of clinical and laboratory personnel (special issue: closer to home: evidence for use of point-of-care nucleic acid testing for early infant diagnosis of hiv and beyond),Bianchi,10.1097/QAI.0000000000002372,2020,NR,,,
"acceptability of serial hiv testing and partner testing during pregnancy and lactation in tororo, uganda",Kim L,10.1016/j.ajog.2012.10.075,2013,NR,,,
"acceptance of hiv-1 education & voluntary counselling/testing by & seroprevalence of hiv-1 among, pregnant women in rural south india",Samuel NM,,2007,NR,,,
access to medical and mental health services across the hiv care continuum among young transgender women: a qualitative study,Dowshen N,10.1089/trgh.2016.0046,2017,NR,,,
accessing hiv testing and treatment among men who have sex with men in china: a qualitative study,Wei C,10.1080/09540121.2013.824538,2014,NR,,,
accumulation of defective viral genomes in peripheral blood mononuclear cells of human immunodeficiency virus type 1-infected individuals,Sanchez G,,1997,NR,,,
accumulation of integrase strand transfer inhibitor resistance mutations confers high-level resistance to dolutegravir in non-b subtype hiv-1 strains from patients failing raltegravir in uganda,Ndashimye E,10.1093/jac/dkaa355,2020,NR,,,
accumulation of mxb/mx2-resistant hiv-1 capsid variants during expansion of the hiv-1 epidemic in human populations,Wei W,10.1016/j.ebiom.2016.04.020,2016,NR,,,
accurate quantification of amplifiable viral templates is essential in order to determine the limit of detection of hiv drug resistance assays,Olson SC,,2012,NR,,,
"achieving the goals of the national hiv/aids strategy: declining hiv diagnoses, improving clinical outcomes, and diminishing racial/ethnic disparities in king county, wa (2004-2013)",Golden MR,10.1097/OLQ.0000000000000434,2016,NR,,,
"acquisition of tenofovir-susceptible, emtricitabine-resistant hiv despite high adherence to daily pre-exposure prophylaxis: a case report",Cohen SE,10.1016/S2352-3018(18)30288-1,2018,NR,,,
activation of coagulation and fibrinolysis in hiv-infected patients,Toulon P,10.1016/S0268-9499(96)80051-8,1996,NR,,,
acute hiv infection: impact on the spread of hiv and transmission of drug resistance,Yerly S,10.1097/00002030-200111230-00010,2001,NR,,,
"identification of a novel hiv-1 crf55_01b/b recombinant isolate in guangxi, china",Liang B,10.1089/AID.2019.0222,2020,NR,,,
adaptation of hiv-1 to cells expressing rhesus monkey trim5alpha,Pacheco B,10.1016/j.virol.2010.09.019,2010,NR,,,
adaptation to persistent growth in the h9 cell line renders a primary isolate of human immunodeficiency virus type 1 sensitive to neutralization by vaccine sera,Wrin T,,1995,NR,,,
adaptations across clinical sites of an integrated treatment model for persons with hiv and substance abuse,Lombard F,10.1089/apc.2008.0260,2009,NR,,,
a creative pathway to a meaningful life: an existential expressive arts group therapy for people living with hiv in hong kong,Kwong M-K,10.1016/j.aip.2019.05.004,2019,NR,,,
adapting an effective primary care provider std/hiv prevention training programme,Rabin DL,,1998,NR,,,
"adapting efficacious interventions: advancing translational research in hiv prevention (special issue: translation issues in prevention and treatment research, part 2)",Solomon,10.1177/0163278706287344,2006,NR,,,
added value of ultra deep sequencing in patients with hiv-1 transmitted drug resistance mutations in the reverse transcriptase,Chueca N,,2012,NR,,,
addressing men and gender diversity in education: a promising solution to the hiv/aids epidemic,Amir Biglar,10.1080/07399332.2010.532577,2011,NR,,,
"adherence to antiretroviral therapy among hiv-positive pregnant women on followup at mizan tepi university teaching and tepi general hospitals, southwest ethiopia",Aferu T,10.1177/2150132720902561,2020,NR,,,
adherence to medication treatment: a qualitative study of facilitators and barriers among a diverse sample of hiv + men and women in four us cities,Remien RH,10.1023/A:1022513507669,2003,NR,,,
a molecular switch in immunodominant hiv-1-specific cd8 t-cell epitopes shapes differential hla-restricted escape,Kloverpris HN,10.1186/s12977-015-0149-5,2015,NR,,,
adjudicated morbidity and mortality outcomes by age among individuals with hiv infection on suppressive antiretroviral therapy,Miller CJ,10.1371/journal.pone.0095061,2014,NR,,,
hiv infected t cells can proliferate in vivo without inducing expression of the integrated provirus,Musick A,10.3389/fmicb.2019.02204,2019,NR,,,
"adolescents behaviorally and perinatally infected with hiv, the intersection of sexual and reproductive health services and transition of care: are their needs being met?",Moore KA,10.1016/j.jadohealth.2014.10.107,2015,NR,,,
adolescents' perceived risk for stds and hiv infection,Ellen JM,10.1016/1054-139X%2894%2900103-L,1996,NR,,,
"adult stakeholder guidance for improved hiv and other std prevention and screening with gay, bisexual and transgender youth",Cahill S,,2018,NR,,,
a cross-sectional evaluation of hiv testing practices among women in the rural dominican republic,Montgomery MC,10.1186/s12905-020-0891-2,2020,NR,,,
hiv-1 unique recombinant forms identified in slovenia and their characterization by near full-length genome sequencing,Lunar MM,10.3390/v12010063,2020,NR,,,
"a cross-sectional study to characterize local hiv-1 dynamics in washington, dc using next-generation sequencing",Gibson KM,10.1038/s41598-020-58410-y,2020,NR,,,
hiv-1 genetic diversity to estimate time of infection and infer adherence to preexposure prophylaxis,Council OD,10.1097/QAD.0000000000002390,2019,NR,,,
a multinational study of self-compassion and human immunodeficiency virus-related anxiety,Kemppainen J,10.1111/inr.12056,2013,NR,,,
a description of an integrated model of hiv/aids care including supervised injection services,Baltzer Turje R,,2011,NR,,,
hiv-1 central nervous system compartmentalization and cytokine interplay in non-subtype b hiv-1 infections in nigeria and malawi,Adewumi OM,10.1089/AID.2019.0245,2020,NR,,,
advances in hiv treatment and prevention: should treatment optimism lead to prevention pessimism?,Lert F,10.1080/09540120020014291,2000,NR,,,
a division of labor: dc subsets and hiv receptor diversity,Kavanagh DG,10.1038/ni1002-891,2002,NR,,,
a framework of sexual partnerships: risks and implications for hiv prevention in africa,Green EC,10.1111/j.1728-4465.2009.00187.x,2009,NR,,,
a gene-specific role for the ssu72 rnapii ctd phosphatase in hiv-1 tat transactivation,Chen Y,10.1101/gad.250449.114,2014,NR,,,
"a genome-to-genome analysis of associations between human genetic variation, hiv-1 sequence diversity, and viral control",Bartha I,10.7554/eLife.01123,2013,NR,,,
"a high hiv-1 strain variability in london, uk, revealed by full-genome analysis: results from the iconic project",Yebra G,10.1371/journal.pone.0192081,2018,NR,,,
"a highly divergent gemycircularvirus genome identified in a hiv-positive plasma sample (french blood agency, national plasma bank): characterization and distribution",Biagini P,,2015,NR,,,
a highly efficient and gmp compliant protocol to manufacture ccr5 edited cells to treat hiv infection,Romito M,10.1182/blood-2018-99-117116,2018,NR,,,
adverse effects in children exposed to maternal hiv and antiretroviral therapy during pregnancy in brazil: a cohort study,Delicio,10.1186/s12978-018-0513-8,2018,NR,,,
genetic clustering analysis for hiv infection among msm in nigeria: implications for intervention,Li Y,10.1097/QAD.0000000000002409,2020,NR,,,
affinity maturation of a high-affinity human monoclonal antibody against the third hypervariable loop of human immunodeficiency virus: use of phage display to improve affinity and broaden strain reactivity,Thompson J,,1996,NR,,,
affordable in-house antiretroviral drug resistance assay with good performance in non-subtype b hiv-1,Wallis CL,10.1016/j.jviromet.2009.11.011,2010,NR,,,
"african american community leaders' policy recommendations for reducing racial disparities in hiv infection, treatment, and care: results from a community-based participatory research project in philadelphia, pennsylvania",Nunn,10.1177/1524839914534855,2015,NR,,,
interferon lambda rs368234815 deltag/deltag is associated with higher cd4+:cd8+ t-cell ratio in treated hiv-1 infection,Freitas IT,10.1186/s12981-020-00269-0,2020,NR,,,
age-adjusted cd4+ lymphocyte parameters in healthy children at risk for infection with the human immunodeficiency virus,Waecker Jr NJ,,1993,NR,,,
premature stop codon at residue 101 within hiv-1 rev does not influence viral replication of clade bc but severely reduces viral fitness of clade b,Wang Z,10.1007/s12250-019-00179-0,2020,NR,,,
age-related differences in socio-demographic and behavioral determinants of hiv testing and counseling in hptn 043/nimh project accept,Salazar-Austin N,10.1007/s10461-017-1807-5,2018,NR,,,
ahi detection among people who inject drugs in russia reveals the hiv-1 transmission bottleneck,Dukhovlinova E,,2014,NR,,,
a highly unusual v1 region of env in an elite controller of hiv infection,Silver ZA,10.1128/JVI.00094-19,2019,NR,,,
a house is not a home: the housing experiences of african and caribbean mothers living with hiv,Greene S,,2011,NR,,,
aids epidemiology: inconsistencies with human immunodeficiency virus and with infectious disease,Duesberg,10.1073/pnas.88.4.1575,1991,NR,,,
altered-specificity mutants of the hiv rev arginine-rich motif-rre iib interaction,Raad NG,10.1002/jmr.2833,2020,NR,,,
isolation of specific human recombinant antibodies against glycoprotein 41 of hiv,Aghaei Afshar MJ,,2019,NR,,,
a hybrid stochastic-deterministic computational model accurately describes spatial dynamics and virus diffusion in hiv-1 growth competition assay,Immonen T,10.1016/j.jtbi.2012.07.005,2012,NR,,,
a kaleidoscope of care for hiv-infected substance users,Tobias,10.1300/J187v04n02_04,2005,NR,,,
alarming increase of transmitted drug resistance to first-line hiv regimen in aruba,Hofstra LM,10.7448/IAS.19.2.21022,2016,NR,,,
alcohol and antiretroviral therapy - a lethal cocktail (special issue: risk behaviors: hiv/aids - volume 1),Schneider,,2011,NR,,,
hiv-1 envelope glycoproteins isolated from viremic non-progressor individuals are fully functional and cytopathic,Cabrera-Rodriguez R,10.1038/s41598-019-42075-3,2019,NR,,,
adeno-associated viral vector mediated expression of broadly- neutralizing antibodies against hiv-hitting a fast-moving target,Sherpa C,10.2174/1570162X18666200210121339,2020,NR,,,
alcohol use and stigmatized sexual practices of hiv seropositive gay and bisexual men,Parsons,10.1016/j.addbeh.2004.03.001,2004,NR,,,
"alkaloidal glycosidase inhibitors (agis) as the cause of sporadic scrapie, and the potential treatment of both transmissible spongiform encephalopathies (tses) and human immunodeficiency virus (hiv) infection",Dealler S,,1994,NR,,,
alterations in oral and gut microbiota in hiv-infected individuals related to pulmonary function,Yang L,,2018,NR,,,
a model hiv/aids risk reduction program in the philippines: a comprehensive community-based approach through participatory action research,Morisky DE,10.1093/heapro/dah109,2004,NR,,,
alterations in the fecal microbiota of patients with hiv-1 infection: an observational study in a chinese population,Ling ZongXin,,2016,NR,,,
"altered drug sensitivity, fitness, and evolution of human immunodeficiency virus type 1 with pol gene mutations conferring multi- dideoxynucleoside resistance",Maeda Y,10.1086/515282,1998,NR,,,
a newly developed b cell immunoglobulin phenotyping panel to facilitate more efficient hiv-1 antibody discovery,Nettey L,10.1089/aid.2018.5000.abstracts,2018,NR,,,
correction: whole genome sequencing of extreme phenotypes identifies variants in cd101 and ube2v1 associated with increased risk of sexually acquired hiv-1,Mackelprang RD,10.1371/journal.ppat.1007588,2019,NR,,,
altered response hierarchy and increased t-cell breadth upon hiv-1 conserved element dna vaccination in macaques,Kulkarni V,10.1371/journal.pone.0086254,2014,NR,,,
altered substrate specificity of drug-resistant human immunodeficiency virus type 1 protease,Dauber DS,,2002,NR,,,
"a multi-vector, multi-envelope hiv-1 vaccine",Hurwitz JL,10.5863/1551-6776-12.2.68,2007,NR,,,
alternate routes of administration among prescription opioid misusers and associations with sexual hiv transmission risk behaviors,Buttram ME,10.1080/02791072.2016.1187319,2016,NR,,,
a multivalent clade c hiv-1 env trimer cocktail elicits a higher magnitude of neutralizing antibodies than any individual component,Bricault CA,10.1128/JVI.03331-14,2015,NR,,,
"alternative splicing of human immunodeficiency virus type 1 mrna modulates viral protein expression, replication, and infectivity",Purcell DF,,1993,NR,,,
a naturally occurring single amino acid substitution in human trim5alpha linker region affects its anti-hiv type 1 activity and susceptibility to hiv type 1 infection,Nakayama EE,10.1089/aid.2012.0369,2013,NR,,,
alveolar bone levels in aids and hiv seropositive patients and in control subjects,Persson RE,,1998,NR,,,
a near full-length hiv-1 genome from 1966 recovered from formalin-fixed paraffin-embedded tissue,Gryseels S,10.1073/pnas.1913682117,2020,NR,,,
"another near full-length sequence of an hiv-1 crf01_ae/crf07_bc recombinant virus from a man who has sex with men in tianjin, china",Zhou Z,10.1089/AID.2019.0071,2019,NR,,,
ambiguous nucleotide calls from population-based sequencing of hiv-1 are a marker for viral diversity and the age of infection,Kouyos RD,10.1093/cid/ciq164,2011,NR,,,
american academy of pediatrics committee on sports medicine and fitness: human immunodeficiency virus [acquired immunodeficiency syndrome (aids) virus] in the athletic setting,Anonymous,,1991,NR,,,
a de novo approach to inferring within-host fitness effects during untreated hiv-1 infection,Illingworth CJR,10.1371/journal.ppat.1008171,2020,NR,,,
amino acid conservation in the gp41 transmembrane protein and natural polymorphisms associated with enfuvirtide resistance across hiv-1 variants,Holguin A,,2007,NR,,,
a neutralizing antibody recognizing primarily n-linked glycan targets the silent face of the hiv envelope,Zhou T,10.1016/j.immuni.2018.02.013,2018,NR,,,
"genomic characterization of a novel hiv-1 second-generation recombinant form (crf01_ae/b) from men who have sex with men in guangxi zhuang autonomous region, china",Li K,10.1089/AID.2019.0149,2019,NR,,,
amino acid deletion at codon 67 and thr-to-gly change at codon 69 of human immunodeficiency virus type 1 reverse transcriptase confer novel drug resistance profiles,Imamichi T,,2001,NR,,,
"among 46 near full length hiv type 1 genome sequences from rakai district, uganda, subtype d and ad recombinants predominate",Harris ME,10.1089/088922202320886325,2002,NR,,,
a new algorithm for analysis of within-host hiv-1 evolution,Ren F,,2001,NR,,,
amplification of complete gag gene sequences from geographically distinct equine infectious anemia virus isolates,Boldbaatar B,10.1016/j.jviromet.2012.12.010,2013,NR,,,
an abnormally long hiv-1 env dna pcr product due to altered sequences of primer binding sites,Boriskin YS,,1999,NR,,,
the relationship between physical activity and cardiorespiratory fitness among people living with human immunodeficiency virus throughout the life span,Webel AR,10.1097/JCN.0000000000000589,2019,NR,,,
an adenovirus-based hiv subtype b prime/boost vaccine regimen elicits antibodies mediating broad antibody-dependent cellular cytotoxicity against non-subtype b hiv strains,Gomez-Roman VR,10.1097/01.qai.0000230318.40170.60,2006,NR,,,
a novel assay allows genotyping of the latent reservoir for human immunodeficiency virus type 1 in the resting cd4+ t cells of viremic patients,Monie D,,2005,NR,,,
a new pattern-based method for identifying recent hiv-1 infections from the viral env sequence,Yang J,10.1007/s11427-012-4312-0,2012,NR,,,
an african hiv-1 sequence from 1959 and implications for the of the epidemic,Zhu T,10.1038/35400,1998,NR,,,
a new real-time quantitative pcr for diagnosis and monitoring of hiv-1 group o infection,Gueudin M,10.1128/JCM.05669-11,2012,NR,,,
a novel alignment-free method for hiv-1 subtype classification,He L,10.1016/j.meegid.2019.104080,2020,NR,,,
a novel approach to perinatal hiv/aids training for doctors and nurses in south africa,Woods DL,,2003,NR,,,
measurement error and variant-calling in deep illumina sequencing of hiv,Howison M,10.1093/bioinformatics/bty919,2019,NR,,,
a novel hiv-1-encoded microrna enhances its viral replication by targeting the tata box region,Zhang Y,10.1186/1742-4690-11-23,2014,NR,,,
"an analysis of hiv-related risk behaviors of men having sex with men (msm), using respondent driven sampling (rds), in albania",Sharra,,2009,NR,,,
natural presence of v179e and rising prevalence of e138g in hiv-1 reverse transcriptase in crf55_01b viruses,Liu Y,10.1016/j.meegid.2019.104098,2020,NR,,,
an endogenous retroviral envelope syncytin and its cognate receptor identified in the viviparous placental mabuya lizard,Cornelis G,10.1073/pnas.1714590114,2017,NR,,,
a novel mutation in hiv-1 vif found in a long-term survivor from nairobi significantly attenuated a3g degradation and viral replication,Peng J,,2012,NR,,,
an evolutionary insight into a growing hiv subtype a epidemic in serbia,Siljic M,10.1111/hiv.12815,2019,NR,,,
an exploratory study on the social and genotypic clustering of hiv infection in men having sex with men,Lee SS,10.1097/QAD.0b013e32832dc025,2009,NR,,,
an hiv vaccine targeting the v2 region of the hiv envelope induces a highly durable polyfunctional fc-mediated antibody response in rhesus macaques,Powell RL,10.1128/JVI.01175-20,2020,NR,,,
multiple-strain infections of human cytomegalovirus with high genomic diversity are common in breast milk from human immunodeficiency virus-infected women in zambia,Suarez NM,10.1093/infdis/jiz209,2019,NR,,,
"rhabdo-immunodeficiency virus, a murine model of acute hiv-1 infection",Liberatore RA,10.7554/eLife.49875,2019,NR,,,
an in silico study on hiv-1 protease wild-type and mutant with inhibitors from annona squamosa,Lisina KV,10.13040/IJPSR.0975-8232.5%285%29.1811-18,2014,NR,,,
a vibrio cholerae bola-like protein is required for proper cell shape and cell envelope integrity,Fleurie A,10.1128/mBio.00790-19,2019,NR,,,
diverse effects of interferon alpha on the establishment and reversal of hiv latency,Van der Sluis RM,10.1371/journal.ppat.1008151,2020,NR,,,
an in vivo mutation from leucine to tryptophan at position 210 in human immunodeficiency virus type 1 reverse transcriptase contributes to high- level resistance to 3'-azido-3'-deoxythymidine,Hooker DJ,10.1128/jvi.70.11.8010-8018.1996,1996,NR,,,
"development of a versatile, near full genome amplification and sequencing approach for a broad variety of hiv-1 group m variants",Banin AN,10.3390/v11040317,2019,NR,,,
a novel strategy for efficient production of anti-v3 human scfvs against hiv-1 clade c,Kumar R,10.1186/1472-6750-12-87,2012,NR,,,
a patient-centered pharmacy services model of hiv patient care in community pharmacy settings: a theoretical and empirical framework,Kibicho J,10.1089/apc.2011.0212,2012,NR,,,
"characterization of a new hiv-1 crf01_ae/b recombinant virus form among men who have sex with men in shanghai, china",Ou W,10.1089/AID.2018.0197,2019,NR,,,
an increasing proportion of monotypic hiv-1 dna sequences during antiretroviral treatment suggests proliferation of hiv-infected cells,Wagner TA,10.1128/JVI.01985-12,2013,NR,,,
an inhibitory monoclonal antibody binds at the turn of the helix-turn-helix motif in the n-terminal domain of hiv-1 integrase,Yi J,10.1074/jbc.M005499200,2000,NR,,,
"homogenous hiv-1 subtype b from the brazilian amazon with infrequent diverse bf1 recombinants, subtypes f1 and c among blood donors",Crispim MAE,10.1371/journal.pone.0221151,2019,NR,,,
an international multicenter study on hiv-1 drug resistance testing by 454 ultra-deep pyrosequencing,Simen BB,10.1016/j.jviromet.2014.04.007,2014,NR,,,
"an isolate of human immunodeficiency virus type 1 originally classified as subtype i represents a complex mosaic comprising three different group m subtypes (a, g, and i)",Gao F,,1998,NR,,,
an online study of the hiv/aids transmission prevention strategies of sexually active young adults: what are adaptive coping strategies in the ongoing era of hiv/aids?,Vasquez-Iscan E,,2014,NR,,,
an open-label cluster randomised trial to evaluate the effectiveness of a counselling intervention on linkage to care among hiv-infected patients in uganda: study design,Ruzagira E,10.1016/j.conctc.2016.12.003,2017,NR,,,
an outbreak of hiv amongst people who inject drugs: a phylogenetic analysis,Jackson C,,2018,NR,,,
a population-based study of hiv testing practices and perceptions in 4 us states,Takahashi TA,10.1111/j.1525-1497.2005.0112.x,2005,NR,,,
a predefined epitope-specific monoclonal antibody recognizes eldewa-epitope just presenting on gp41 of hiv-1 o clade,Huang J,10.1016/S0165-2478%2802%2900174-8,2002,NR,,,
a prediction model of pretreatment hiv rna levels in naive thai hiv-infected patients: an application for resource-limited settings,Pongpech N,10.1093/ofid/ofx163.1097,2017,NR,,,
an outbreak of hiv infection among people who inject drugs linked to injection of propofol in taiwan,Huang Y-C,10.1371/journal.pone.0210210,2019,NR,,,
"comparative performance of the biocentric generic viral load, roche cap/ctm v15, roche cap/ctm v20 and m2000 abbott assays for quantifying hiv-1 b and non-b strains: underestimation of some crf02 strains",Avettand-Fenoel V,10.1016/j.jcv.2018.12.002,2019,NR,,,
an outbreak of hiv-1 subtype g among italian injecting drug users,Ciccozzi M,10.1097/QAD.0b013e32813aee1a,2007,NR,,,
a predictive model of neutralization sensitivity from indel-rich variable loop regions in hiv-1 envelope sequences using a tree-based kernel method,Poon AF,,2010,NR,,,
an unusual hiv type 1 env sequence embedded in a mosaic virus from cameroon: identification of a new env clade,Roques P,10.1089/088922299309883,1999,NR,,,
a prominent site of antibody vulnerability on hiv envelope incorporates a motif associated with ccr5 binding and its camouflaging glycans,Sok D,10.1016/j.immuni.2016.06.026,2016,NR,,,
a proportion of latent hiv is missed by assaying only resting cd4 t cells,Cillo AR,,2017,NR,,,
a proposed hiv reference sample characterized by three next-generation sequencing platforms,Gonzalez-Serna A,,2014,NR,,,
"a qualitative assessment of long distance truck drivers' vulnerability to hiv/aids in itajai, southern brazil",Malta M,10.1080/09540120500235241,2006,NR,,,
anal microbiota profiles in hiv-positive and hiv-negative msm,Yu,10.1097/QAD.0000000000000154,2014,NR,,,
a novel long distance base-pairing interaction in human immunodeficiency virus type 1 rna occludes the gag start codon,Abbink TE,,2003,NR,,,
single-cell analysis of quiescent hiv infection reveals host transcriptional profiles that regulate proviral latency,Bradley T,10.1016/j.celrep.2018.09.020,2018,NR,,,
analysis of a local hiv-1 epidemic in portugal highlights established transmission of non-b and non-g subtypes,Carvalho A,10.1128/JCM.03611-14,2015,NR,,,
analysis of a new subtype of hiv-1 gag sequence from a case of vertical transmission in taiwan,Chang KS,,1993,NR,,,
a qualitative evaluation of men living with hiv: views on condom use,Fallahi H,,2012,NR,,,
analysis of a rape case by direct sequencing of the human immunodeficiency virus type 1 pol and gag genes,Albert J,,1994,NR,,,
analysis of drug resistance mutations in whole blood dna from hiv-1 infected patients by single genome and ultradeep sequencing analysis,Sotillo A,10.1016/j.jviromet.2018.06.020,2018,NR,,,
a qualitative study of vulnerability to hiv infection: places and persons in urban settings of ethiopia,Mirgissa Kaba,,2016,NR,,,
a quantitative study of michigan's criminal hiv exposure law,Galletly CL,10.1080/09540121.2011.603493,2012,NR,,,
analysis of enfuvirtide resistance mutations prevalence among hiv-1 variants circulating in russia and cis countries,Vasilyev A,10.7448/IAS.15.6.18226,2012,NR,,,
a retrospective study: the 10 most common cutaneous disorders in patients with hiv and aids,Nurul Hidayati A,10.1016/j.jaad.2017.04.117,2017,NR,,,
analysis of env sequence evolution in human immunodeficiency virus-infected patients receiving therapy with nonnucleoside reverse-transcriptase inhibitors,Dykes C,,2000,NR,,,
