TI,AU,DO,YR,Title Screen,Abstract Screen,Data Screen,Data Extracted,,,,
characterization of hiv type 1 tat sequences associated with perinatal transmission,Husain M,10.1089/088922201750237040,2001,pass,pass,no quantification,,,,,no quantification
diversity of the hiv-1 long terminal repeat following mother-to-child transmission,Blackard JT,10.1006/viro.2000.0466,2000,pass,pass,no quantification,,,,,antiretrovirals
the molecular clock of hiv-1 unveiled through analysis of a known transmission history,Leitner T,10.1073/pnas.96.19.10752,1999,pass,pass,no quantification,,,,,*
"selection of appropriate hiv-1 genomic regions for single-strand conformation polymorphism analysis of the diversity, modification, and transmission of hiv-1 quasispecies",Lin HJ,10.1097/00042560-199808150-00001,1998,pass,pass,no quantification,,,,,*
molecular analyses of human immunodeficiency virus type 1 v3 region quasispecies derived from plasma and peripheral blood mononuclear cells of the first long-term-nonprogressing mother and child pair,Wang Bin,10.1086/516489,1997,pass,pass,no quantification,,,,,*
accurate reconstruction of a known hiv-1 transmission history by phylogenetic tree analysis,Leitner T,10.1073/pnas.93.20.10864,1996,pass,pass,no quantification,,,,,*
elucidation of an hiv-1 transmission from mother to child in west africa by sequence analysis,Kasper P,10.1016/s0934-8840(96)80107-1,1996,pass,pass,no quantification,,,,,*
intraspecific phylogenetics: support for dental transmission of human immunodeficiency virus,Crandall KA,10.1128/JVI.69.4.2351-2356.1995,1995,pass,pass,no quantification,,,,,*
human immunodeficiency virus type 1 evolution in vivo tracked by dna heteroduplex mobility assays,Delwart EL,10.1128/JVI.68.10.6672-6683.1994,1994,pass,pass,no quantification,,,,,*
genomic human immunodeficiency virus type 1 rna variation in mother and child following intra-uterine virus transmission,Mulder-Kampinga GA,10.1099/0022-1317-74-9-1747,1993,pass,pass,no quantification,,,,,*
selection for specific sequences in the external envelope protein of human immunodeficiency virus type 1 upon primary infection,Zhang LQ,10.1128/JVI.67.6.3345-3356.1993,1993,pass,pass,no quantification,,,,,*
diversification of hiv-1 strains after infection from a unique source,Kasper P,10.1089/aid.1993.9.153,1993,pass,pass,no quantification,,,,,*
hiv-1 genomic rna diversification following sexual and parenteral virus transmission,Wolfs TF,10.1016/0042-6822(92)90685-I,1992,pass,pass,no quantification,,,,,*
modeling sequence evolution in acute hiv-1 infection,Lee HY,10.1016/j.jtbi.2009.07.038,2009,pass,pass,modelling review,,,,,*
donor-recipient identification in para- and poly-phyletic trees under alternative hiv-1 transmission hypotheses using approximate bayesian computation,Romero-Severson EO,10.1534/genetics.117.300284,2017,pass,pass,modelling,,,,,*
an evaluation of phylogenetic methods for reconstructing transmitted hiv variants using longitudinal clonal hiv sequence data,McCloskey RM,10.1128/JVI.00483-14,2014,pass,pass,modelling,,,,,*
hiv-1 transmission during early infection in men who have sex with men: a phylodynamic analysis,Volz EM,10.1371/journal.pmed.1001568,2013,pass,pass,modelling,,,,,*
deep sequencing reveals compartmentalized hiv-1 in the semen of men with and without sexually transmitted infection-associated urethritis,Council OD,10.1128/JVI.00151-20,2020,pass,pass,intrahost evolution,,,,,*
hiv-1 tropism dynamics and phylogenetic analysis from longitudinal ultra-deep sequencing data of ccr5- and cxcr4-using variants,Sede MM,10.1371/journal.pone.0102857,2014,pass,pass,intrahost evolution,,,,,*
limited heterogeneity of hiv type 1 in infected mothers correlates with lack of vertical transmission,Matala E,10.1089/088922200750006001,2000,pass,pass,intrahost evolution,,,,,*
genital tract human immunodeficiency virus type 1 (hiv-1) shedding and inflammation and hiv-1 env diversity in perinatal hiv-1 transmission,Panther LA,10.1086/315230,2000,pass,pass,intrahost evolution,,,,,*
slower evolution of human immunodeficiency virus type 1 quasispecies during progression to aids,Delwart EL,10.1128/JVI.71.10.7498-7508.1997,1997,pass,pass,intrahost evolution,,,,,*
"high frequency of hiv-1 dual infections among hiv-positive individuals in cameroon, west central africa",Powell RL,10.1097/QAI.0b013e31818d5a40,2009,pass,pass,chronic infection,,,,,*
phylogenetic approach reveals that virus genotype largely determines hiv set-point viral load,Alizon S,10.1371/journal.ppat.1001123,2010,pass,other transmission study,0,,,,,
transmission of hiv-1 from an obstetrician to a patient during a caesarean section,Mallolas J,10.1097/01.aids.0000199831.02854.b2,2006,pass,other transmission study,0,,,,,
influence of human immunodeficiency virus type 1 subtype on mother-to-child transmission,Tapia,10.1099/vir.0.18754-0,2003,pass,other transmission,0,,,,,
common genetic arrangements among human immunodeficiency virus type 1 subtype a and d recombinant genomes vertically transmitted in tanzania,Koulinska IN,10.1089/088922202760265614,2002,pass,other transmission,0,,,,,
exposure to hiv-1 during delivery and mother-to-child transmission,Gaillard P,10.1097/00002030-200010200-00015,2000,pass,other transmission,0,,,,,
nosocomial hiv-transmission in an outpatient clinic detected by epidemiological and phylogenetic analyses,Katzenstein TL,10.1097/00002030-199909100-00018,1999,pass,other transmission,0,,,,,
variants from the diverse virus population identified at seroconversion of a clade a human immunodeficiency virus type 1-infected woman have distinct biological properties,Poss M,10.1128/JVI.73.7.5255-5264.1999,1999,pass,other transmission,0,,,,,
evolution and biological characterization of human immunodeficiency virus type 1 subtype e gp120 v3 sequences following horizontal and vertical virus transmission in a single family,Sato H,10.1128/JVI.73.5.3551-3559.1999,1999,pass,other transmission,0,,,,,
genetically related human immunodeficiency virus type 1 in three adults of a family with no identified risk factor for intrafamilial transmission,Belec L,10.1128/JVI.72.7.5831-5839.1998,1998,pass,other transmission,0,,,,,
molecular evidence for nosocomial transmission of human immunodeficiency virus from a surgeon to one of his patients,Blanchard A,10.1128/JVI.72.5.4537-4540.1998,1998,pass,other transmission,0,,,,,
conservation of an intact vif gene of human immunodeficiency virus type 1 during maternal-fetal transmission,Yedavalli VR,10.1128/JVI.72.2.1092-1102.1998,1998,pass,other transmission,0,,,,,
maintenance of an intact human immunodeficiency virus type 1 vpr gene following mother-to-infant transmission,Yedavalli VR,10.1128/JVI.72.8.6937-6943.1998,1998,pass,other transmission,0,,,,,
"longitudinal studies of viral sequence, viral phenotype, and immunologic parameters of human immunodeficiency virus type 1 infection in perinatally infected twins with discordant disease courses",Hutto C,10.1128/JVI.70.6.3589-3598.1996,1996,pass,other transmission,0,,,,,
sequence distances between env genes of hiv-1 from individuals infected from the same source: implications for the investigation of possible transmission events,Arnold C,10.1006/viro.1995.1391,1995,pass,other transmission,0,,,,,
genomic structure of an attenuated quasi species of hiv-1 from a blood transfusion donor and recipients,Deacon NJ,10.1126/science.270.5238.988,1995,pass,other transmission,0,,,,,
the genetic diversification of the hiv type 1 gag p17 gene in patients infected from a common source,Kasper P,10.1089/aid.1995.11.1197,1995,pass,other transmission,0,,,,,
hiv type 1 v3 sequence diversity in contact-traced swedish couples at the time of sexual transmission,Furuta Y,10.1089/aid.1994.10.1187,1994,pass,other transmission,0,,,,,
evolution of sequence divergence among human immunodeficiency virus type 1 isolates derived from a blood donor and a recipient,McNearney T,10.1203/00006450-199301000-00008,1993,pass,other transmission,0,,,,,
phylogenetic analysis of population-based and deep sequencing data to identify coevolving sites in the nef gene of hiv-1,Poon AF,10.1093/molbev/msp289,2010,pass,other phylogenetics,0,,,,,
an evolutionary model-based algorithm for accurate phylogenetic breakpoint mapping and subtype prediction in hiv-1,Kosakovsky Pond SL,10.1371/journal.pcbi.1000581,2009,pass,other phylogenetic,0,,,,,
hla footprints on human immunodeficiency virus type 1 are associated with interclade polymorphisms and intraclade phylogenetic clustering,Matthews PC,10.1128/JVI.02017-08,2009,pass,other phylogenetic,0,,,,,
"diversity of risk of mother-to-child hiv-1 transmission according to feeding practices, cd4 cell count, and haemoglobin concentration in a south african cohort",Tournoud M,10.1111/j.1365-3156.2008.02004.x,2008,pass,other,0,,,,,
evidence of genetic variability of human immunodeficiency virus type 1 in plasma and cervicovaginal lavage in ethiopian women seeking care for sexually transmitted infections,Adal M,10.1089/aid.2005.21.649,2005,pass,other,0,,,,,
viral fitness costs and benefits of disrupting the host cell actin cytoskeleton in mucosal hiv-infection,Mempel T,10.1097/01.qai.0000557988.95699.8e,2019,pass,NR,0,,,,,
deep sequencing of hiv-1 variants from paired plasma and cerebrospinal fluid during primary hiv infection,Gega A,,2015,pass,NR,0,,,,,
differences in envelope glycan content of hiv-1 clones influences transmission fitness,Klein K,,2015,pass,NR,0,,,,,
differential intrahost hiv-1 evolution revealed by ancestral phylogenetic reconstruction in a rare case of transmission of cxcr4-using hiv,Le AQ,,2015,pass,NR,0,,,,,
a stochastic model for hiv transmission under alertness using exponentiated exponential distribution,Kannan,,2013,pass,NR,0,,,,,
high diversity in reverse transcriptase drug resistance mutations relative to envelope variants in early-acute hiv transmission,Lipscomb JT,,2013,pass,NR,0,,,,,
reconstructing transmitted hiv genotypes by phylogenetic analysis of serial samples,McCloskey RM,,2013,pass,NR,0,,,,,
distinguishing features of transmitted/founder hiv-1,Parrish NF,,2013,pass,NR,0,,,,,
"identification of full-length transmitted hiv-1 genomes reveals extraordinary dynamics and precise molecular pathways of early virus diversification, adaptation and immune evasion",Shaw GM,,2009,pass,NR,0,,,,,
maternal and viral factors in vertical transmission of hiv-1 subtype e,Sutthent R,,1997,pass,NR,0,,,,,
metagenomic sequencing of hiv-1 in the blood and female genital tract reveals little quasispecies diversity during acute infection,Piantadosi A,10.1128/JVI.00804-18,2019,pass,no quantification,0,,,,,
"diversity of hiv-1 genetic subtypes in france, in the context of mother-to-child transmission",Chaix M-L,10.1097/00002030-200002180-00018,2000,pass,NA,0,,,,,
link between the numbers of particles and variants founding new hiv-1 infections depends on the timing of transmission,Thompson RN,10.1093/ve/vey038,2019,pass,modelling study,0,,,,,
effects of replicative fitness on competing hiv strains,Chirove F,10.1016/j.biosystems.2013.04.001,2013,pass,modelling,0,,,,,
new insights into the evolutionary rate of hiv-1 at the within-host and epidemiological levels,Lythgoe KA,10.1098/rspb.2012.0595,2012,pass,modelling,0,,,,,
fitness costs and diversity of the cytotoxic t lymphocyte (ctl) response determine the rate of ctl escape during acute and chronic phases of hiv infection,Ganusov VV,10.1128/JVI.00655-11,2011,pass,modelling,0,,,,,
dynamic correlation between intrahost hiv-1 quasispecies evolution and disease progression,Lee HY,10.1371/journal.pcbi.1000240,2008,pass,modelling,0,,,,,
the genital tract and rectal microbiomes: their role in hiv susceptibility and prevention in women,Abdool Karim SS,10.1002/jia2.25300,2019,pass,microbiome,0,,,,,
altered vaginal microbiota are associated with perinatal mother-to-child transmission of hiv in african women from burkina faso,Frank DN,10.1097/QAI.0b013e31824e4bdb,2012,pass,microbiome,0,,,,,
compartmentalization of surface envelope glycoprotein of human immunodeficiency virus type 1 during acute and chronic infection,Zhang L,10.1128/jvi.76.18.9465-9473.2002,2002,pass,intrahost evolution,0,,,,,
consistent viral evolutionary changes associated with the progression of human immunodeficiency virus type 1 infection,Shankarappa R,10.1128/JVI.73.12.10489-10502.1999,1999,pass,intrahost evolution,0,,,,,
analysis of hiv-1 env gene sequences reveals evidence for a low effective number in the viral population,Brown AJ,10.1073/pnas.94.5.1862,1997,pass,intrahost evolution,0,,,,,
convergent evolution within the v3 loop domain of human immunodeficiency virus type 1 in association with disease progression,Strunnikova N,10.1128/JVI.69.12.7548-7558.1995,1995,pass,intrahost evolution,0,,,,,
full-length genome sequencing of hiv type 1 group o viruses isolated from a heterosexual transmission cluster in senegal,Kane CT,10.1089/088922201316912817,2001,pass,group O,0,,,,,
key positions of hiv-1 env and signatures of vaccine efficacy show gradual reduction of population founder effects at the clade and regional levels,Han C,10.1128/mBio.00126-20,2020,pass,global bottlenecks,0,,,,,
erratum: publisher correction: in vitro replicative fitness of early transmitted founder hiv-1 variants and sensitivity to interferon alpha (scientific reports (2020) 10 1 (2747)),Ashokkumar M,10.1038/s41598-020-68818-1,2020,pass,erratum,0,,,,,
publisher correction: in vitro replicative fitness of early transmitted founder hiv-1 variants and sensitivity to interferon alpha,Ashokkumar M,10.1038/s41598-020-68818-1,2020,pass,erratum,0,,,,,
phenotypic properties influencing hiv-1 transmission fitness,Klein K,10.7448/IAS.18.5.20350,2015,pass,erratum,0,,,,,
within-host evolution of x4 hiv-1 in a rare transmission pair revealed by phylogenetic reconstruction of deep-sequence data,Le A,10.7448/IAS.18.5.20420,2015,pass,erratum,0,,,,,
incident cases characterization and deep sequencing provide new insight into multiplicity of infection and hiv evolution in very early acute infection,Kijak G,10.1186/1742-4690-9-S2-P143,2012,pass,erratum,0,,,,,
virus genetic variability involvement in transmissibility of hiv-1 immune activation and disease progression,Khouri R,10.2217/fvl.15.96,2015,pass,editorial,0,,,,,
low-frequency nnrti-resistant hiv-1 variants and relationship to mutational load in antiretroviral-naive subjects,Gupta S,10.3390/v6093428,2014,pass,drug resistance,0,,,,,
"hiv-1 transmission patterns in antiretroviral therapy-naive, hiv-infected north americans based on phylogenetic analysis by population level and ultra-deep dna sequencing",Ross LL,10.1371/journal.pone.0089611,2014,pass,drug resistance,0,,,,,
ultra-deep sequencing of hiv-1 reverse transcriptase before start of an nnrti-based regimen in treatment-naive patients,Messiaen,10.1016/j.virol.2012.01.002,2012,pass,drug resistance,0,,,,,
sequence diversity of the reverse transcriptase of human immunodeficiency virus type 1 from untreated brazilian individuals,Brindeiro R,10.1128/AAC.43.7.1674,1999,pass,drug resistance,0,,,,,
deep sequence analysis of hiv adaptation following vertical transmission: importance of human leucocyte antigen-driven selection on the evolution of hiv,Gaudieri S,10.1002/jia2.25327,2019,pass,conference,0,,,,,
differential infection of cultured peripheral and cns cells by distinct transmitted/founder hiv-1 infectious molecular clones (imc),Balinang J,10.1089/aid.2018.5000.abstracts,2018,pass,conference,0,,,,,
transmission of unique intersubtype hiv-1 recombinants predominate in both single and multiple variant infections in uganda,Balinda SN,10.1089/aid.2018.5000.abstracts,2018,pass,conference,0,,,,,
"the virtue of simplicity: the vaginal microbiome, genital inflammation and hiv risk",Kwon D,10.1111/aji.12981,2018,pass,conference,0,,,,,
infection with multiple transmitted/founder (tf) hiv-1 viruses impacts peak vl and hiv-1 pathogenesis,Macharia G,10.1089/aid.2018.5000.abstracts,2018,pass,conference,0,,,,,
molecular epidemiological of hiv-1 virus among blood donors in malaysia,Ab Halim M,10.1111/vox.12530,2017,pass,conference,0,,,,,
splicing in a panel of hiv-1 transmitted/founder viruses,Emery A,,2017,pass,conference,0,,,,,
exponential growth of hiv dependent on burst size breakthrough of the allee threshold,Hataye JM,,2017,pass,conference,0,,,,,
deep sequencing reveals rare cns compartmentalization in acute hiv-1 infection,Sirijatuphat R,,2017,pass,conference,0,,,,,
type 1 interferon resistance is a hallmark of mucosally transmitted hiv-1,Bibollet-Ruche F,,2016,pass,conference,0,,,,,
sieve pressure toward the cd4 binding site of env in hvtn 505 breakthrough infections,DeCamp AC,10.1089/aid.2016.5000.abstracts,2016,pass,conference,0,,,,,
"hiv-1 subtype c transmitted/founder variants do not downregulate hla-i, cd4 or cd62l differently than non-transmitted donor variants",Ende Z,10.1089/aid.2016.5000.abstracts,2016,pass,conference,0,,,,,
early events in hiv-1 infection: new insight from the rv217 early capture acute infection cohort,Kijak G,10.1089/aid.2016.5000.abstracts,2016,pass,conference,0,,,,,
assessing hiv transmission networks in a thai cohort with acute hiv infection,Kroon E,,2016,pass,conference,0,,,,,
the transmission bottleneck of hiv-1 in idus of china xinjiang,Li F,10.1089/aid.2016.5000.abstracts,2016,pass,conference,0,,,,,
transmission of multiple hiv-1 founder viruses and high frequency of unique recombinant forms among msm in kenya,Macharia G,10.1089/aid.2016.5000.abstracts,2016,pass,conference,0,,,,,
characterizing viral evolution and bnab specificities in two subjects infected with closely related founder strains of hiv,Newman RM,10.1089/aid.2016.5000.abstracts,2016,pass,conference,0,,,,,
a mother-to-child hiv-1 transmission bottleneck? a new understanding of the selection biases underlying successful perinatal infection,Noble C,10.7448/IAS.19.8.21487,2016,pass,conference,0,,,,,
molecular characterization of vertically transmitted hiv-1 among children born to hiv-1 seropositive mothers in northern tanzania,Nyombi BM,10.1186/s12879-016-1466-6,2016,pass,conference,0,,,,,
effectiveness of broadly neutralizing antibodies against drug resistant and transmitter/founder hiv strains,Scott Y,10.1089/aid.2016.5000.abstracts,2016,pass,conference,0,,,,,
infant peripartum transmitted-founder hiv-1 variants are resistant to autologous maternal plasma neutralization,Smith CEP,10.1089/aid.2016.5000.abstracts,2016,pass,conference,0,,,,,
"phylogenetic analysis of hiv full genomes in london, uk: initial results from iconic",Yebra G,,2016,pass,conference,0,,,,,
"hiv transmission in male serodiscordant couples in australia, thailand and brazil",Bavinton BR,10.1136/sextrans-2015-052270.189,2015,pass,conference,0,,,,,
hiv-1/m+o dual infections and hiv-mo recombinants in france from 2004 to 2014,Cappy P,,2015,pass,conference,0,,,,,
hiv transmission linkage among seroconverting partners in hiv-discordant relationships in kenya,Chohan BH,,2015,pass,conference,0,,,,,
in vitro replication and interferon-alpha resistance of transmitted hiv-1 variants,Ende Z,,2015,pass,conference,0,,,,,
"genital immunology, the microbiota and hiv transmission",Kaul R,10.1136/sextrans-2015-052270.62,2015,pass,conference,0,,,,,
evaluation of hiv-1 clones for unique properties associated with transmission,Klein K,,2015,pass,conference,0,,,,,
phenotypic characterization of transmitted/founder virus in hiv-1 transmission pairs,Oberle CS,,2015,pass,conference,0,,,,,
hvtn505 breakthrough sequences show hiv vaccine-associated differences in env-gp120,Rolland M,,2015,pass,conference,0,,,,,
characterizing the ifnalpha resistance of transmitted founder hiv-1,Iyer SS,,2014,pass,conference,0,,,,,
molecular epidemiology analysis of hiv-1 circulating strain without receiving antiviral therapy,Wang F,10.1007/s12072-013-9429-0,2013,pass,conference,0,,,,,
"high prevalence of hiv-1 intersubtypes multiple infections in the metropolitan region of sao paulo, brazil",Nunes ERM,10.7448/IAS.15.5.18438,2012,pass,conference,0,,,,,
"using phylogenetic analysis to identify hiv transmission channels among persons newly diagnosed with hiv-1 infection in los angeles county, 2009-2010",Sey K,10.7448/IAS.15.5.18438,2012,pass,conference,0,,,,,
hiv-1 populations that persist in plasma after long-term suppressive art are more closely related to ancestral sequences than are pre-therapy populations,Kearney M,,2011,pass,conference,0,,,,,
evolution of hiv-1 transmitted/founder viruses results in the formation of epitopes for later broadly cross-neutralizing antibodies,Moore PL,10.1089/aid.2011.1502,2011,pass,conference,0,,,,,
early selective pressures acting on the hiv-1 subtype c transmitted whole genome in five individuals with differing disease progression profiles,Abrahams M,10.1089/aid.2010.9998,2010,pass,conference,0,,,,,
quantifying factors determining the rate of ctl escape and reversion during acute and chronic phases of hiv infection,Ganusov VV,10.1089/aid.2010.9998,2010,pass,conference,0,,,,,
ultra-deep sequencing during acute hiv infection reveals complex adaptive changes to host selection pressures,Henn M,10.1089/aid.2010.9998,2010,pass,conference,0,,,,,
molecular identification of transmitted/founder viruses by single genome amplification following percutaneous occupational exposure to hiv-1,Li H,10.1089/aid.2010.9998,2010,pass,conference,0,,,,,
genotypic prediction of hiv-1 coreceptor usage based on single genome analysis of proviral dna,Martinez-Prats L,,2010,pass,conference,0,,,,,
evolution of the same hiv-1 transmitted/founder virus in two hosts,Pavlicek JW,10.1089/aid.2010.9998,2010,pass,conference,0,,,,,
detecting selective sweeps in hiv-1 within patients by phylogenetic analysis of next-generation sequencing data,Poon AF,,2010,pass,conference,0,,,,,
hiv-1 acute infection: evidence of selection?,Rolland M,10.1089/aid.2010.9998,2010,pass,conference,0,,,,,
short communication: nucleotide variation and positively selected sites in hiv type 1 reverse transcriptase among heterosexual transmission pairs,Shanmugasundaram U,10.1089/aid.2010.0003,2010,pass,conference,0,,,,,
nucleotide variation and positively selected sites in hiv type 1 reverse transcriptase among heterosexual transmission pairs,Uma Shanmugasundaram,10.1089/aid.2010.0003,2010,pass,conference,0,,,,,
molecular evolution of hiv-1 subtype a transmitted/founder viruses in response to cytotoxic t-cell and neutralizing antibodies after transmission,Yue L,10.1089/aid.2010.9998,2010,pass,conference,0,,,,,
molecular epidemiology of hiv-1 transmission in heterosexual pairs,Chkhartishvili N,10.1111/j.1468-1293.2009.00792.x,2009,pass,conference,0,,,,,
"hiv transmission amongst msm: association with antiretroviral therapy, infection stage, viraemia and sexually transmitted infections (sti) in a longitudinal phylogenetic study",Fisher M,10.1111/j.1468-1293.2009.00705.x,2009,pass,conference,0,,,,,
phylogenetic relatedness of hiv-1 donor and recipient populations,Wertheim JO,10.1093/infdis/jit021,2013,pass,editorial,0,,,,,
compartmentalization of hiv-1 within the female genital tract is due to monotypic and low-diversity variants not distinct viral populations,Bull M,10.1371/journal.pone.0007122,2009,pass,chronic individuals,0,,,,,
evaluation of dried blood spots with a multiplex assay for measuring recent hiv-1 infection,Curtis KA,10.1371/journal.pone.0107153,2014,pass,assay eval,0,,,,,
biological and genetic characterization of hiv type 1 subtype b and nonsubtype b transmitted viruses: usefulness for vaccine candidate assessment,Cuevas,10.1089/aid.2010.0018,2010,pass,assay eval,0,,,,,
comparison of standard pcr/cloning to single genome sequencing for analysis of hiv-1 populations,Jordan MR,10.1016/j.jviromet.2010.04.030,2010,pass,assay eval,0,,,,,
primary isolates of human immunodeficiency virus type 1 are usually dominated by the major variants found in blood,Voronin Y,10.1128/JVI.01035-07,2007,pass,assay eval,0,,,,,
rapid molecular epidemiology of human immunodeficiency virus transmission,Delwart EL,10.1089/aid.1995.11.1081,1995,pass,assay eval,0,,,,,
novel bimodular dna aptamers with guanosine quadruplexes inhibit phylogenetically diverse hiv-1 reverse transcriptases,Michalowski D,10.1093/nar/gkn891,2008,NR,-,0,,,,,
"""a dream come true"": perspectives on long-acting injectable antiretroviral therapy among female sex workers living with hiv from the dominican republic and tanzania",Kerrigan D,10.1371/journal.pone.0234666,2020,NR,,0,,,,,
#testathome: implementing 2 phases of a hiv self-testing program through community-based organization partnerships in new york city,Hubbard SJ,10.1097/OLQ.0000000000001151,2020,NR,,0,,,,,
163 moving the needle forward: what factors are associated with engagement of at-risk young black and latinx transgender women and men who have sex with men into a behavioral hiv intervention?,Villalona S,10.1016/j.jadohealth.2019.11.166,2020,NR,,0,,,,,
"identification of a novel hiv-1 unique crf01_ae/c recombinant in yan'an city, shaanxi province",Cheng SW,10.1089/AID.2020.0174,2020,NR,,0,,,,,
near full-length genomic characterization of a novel hiv-1 circulating recombinant form (crf106_cpx) identified among heterosexuals in china,Zhou J,10.1089/AID.2020.0101,2020,NR,,0,,,,,
a dual-app nucleoside probe reports g-quadruplex formation and ligand binding in the long terminal repeat of hiv-1 proviral genome,Sontakke VA,10.1016/j.bmcl.2020.127345,2020,NR,,0,,,,,
a geographic hotspot and emerging transmission cluster of the hiv-1 epidemic among older adults in a rural area of eastern china,Fan Q,10.1089/AID.2019.0293,2020,NR,,0,,,,,
"a high-throughput hiv-1 drug screening platform, based on lentiviral vectors and compatible with biosafety level-1",Ellinger B,10.3390/v12050580,2020,NR,,0,,,,,
sequence and functional variation in the hiv-1 rev regulatory axis,Jackson PEH,10.2174/1570162X18666200106112842,2020,NR,,0,,,,,
genetic variability of the u5 and downstream sequence of major hiv-1 subtypes and circulating recombinant forms,Mbondji-Wonje C,10.1038/s41598-020-70083-1,2020,NR,,0,,,,,
a new cell line for assessing hiv-1 antibody dependent cellular cytotoxicity against a broad range of variants,Thomas AS,10.1016/j.jim.2020.112766,2020,NR,,0,,,,,
a comprehensive genomics solution for hiv surveillance and clinical monitoring in low income settings,Bonsall D,10.1128/JCM.00382-20,2020,NR,,0,,,,,
racial differences in dermatologic conditions associated with hiv: a cross-sectional study of 4679 patients in an urban tertiary care center,Bender AM,10.1016/j.jaad.2019.08.072,2020,NR,,0,,,,,
the hiv-1 accessory protein vpu downregulates peroxisome biogenesis,Xu Z,10.1128/mBio.03395-19,2020,NR,,0,,,,,
a zika virus envelope mutation preceding the 2015 epidemic enhances virulence and fitness for transmission,Shan C,10.1073/pnas.2005722117,2020,NR,,0,,,,,
acceptability of routine point-of-care early infant diagnosis in eight african countries: findings from a qualitative assessment of clinical and laboratory personnel (special issue: closer to home: evidence for use of point-of-care nucleic acid testing for early infant diagnosis of hiv and beyond),Bianchi,10.1097/QAI.0000000000002372,2020,NR,,0,,,,,
accumulation of integrase strand transfer inhibitor resistance mutations confers high-level resistance to dolutegravir in non-b subtype hiv-1 strains from patients failing raltegravir in uganda,Ndashimye E,10.1093/jac/dkaa355,2020,NR,,0,,,,,
"identification of a novel hiv-1 crf55_01b/b recombinant isolate in guangxi, china",Liang B,10.1089/AID.2019.0222,2020,NR,,0,,,,,
"adherence to antiretroviral therapy among hiv-positive pregnant women on followup at mizan tepi university teaching and tepi general hospitals, southwest ethiopia",Aferu T,10.1177/2150132720902561,2020,NR,,0,,,,,
a cross-sectional evaluation of hiv testing practices among women in the rural dominican republic,Montgomery MC,10.1186/s12905-020-0891-2,2020,NR,,0,,,,,
hiv-1 unique recombinant forms identified in slovenia and their characterization by near full-length genome sequencing,Lunar MM,10.3390/v12010063,2020,NR,,0,,,,,
"a cross-sectional study to characterize local hiv-1 dynamics in washington, dc using next-generation sequencing",Gibson KM,10.1038/s41598-020-58410-y,2020,NR,,0,,,,,
hiv-1 central nervous system compartmentalization and cytokine interplay in non-subtype b hiv-1 infections in nigeria and malawi,Adewumi OM,10.1089/AID.2019.0245,2020,NR,,0,,,,,
genetic clustering analysis for hiv infection among msm in nigeria: implications for intervention,Li Y,10.1097/QAD.0000000000002409,2020,NR,,0,,,,,
interferon lambda rs368234815 deltag/deltag is associated with higher cd4+:cd8+ t-cell ratio in treated hiv-1 infection,Freitas IT,10.1186/s12981-020-00269-0,2020,NR,,0,,,,,
premature stop codon at residue 101 within hiv-1 rev does not influence viral replication of clade bc but severely reduces viral fitness of clade b,Wang Z,10.1007/s12250-019-00179-0,2020,NR,,0,,,,,
altered-specificity mutants of the hiv rev arginine-rich motif-rre iib interaction,Raad NG,10.1002/jmr.2833,2020,NR,,0,,,,,
adeno-associated viral vector mediated expression of broadly- neutralizing antibodies against hiv-hitting a fast-moving target,Sherpa C,10.2174/1570162X18666200210121339,2020,NR,,0,,,,,
a near full-length hiv-1 genome from 1966 recovered from formalin-fixed paraffin-embedded tissue,Gryseels S,10.1073/pnas.1913682117,2020,NR,,0,,,,,
a de novo approach to inferring within-host fitness effects during untreated hiv-1 infection,Illingworth CJR,10.1371/journal.ppat.1008171,2020,NR,,0,,,,,
a novel alignment-free method for hiv-1 subtype classification,He L,10.1016/j.meegid.2019.104080,2020,NR,,0,,,,,
natural presence of v179e and rising prevalence of e138g in hiv-1 reverse transcriptase in crf55_01b viruses,Liu Y,10.1016/j.meegid.2019.104098,2020,NR,,0,,,,,
an hiv vaccine targeting the v2 region of the hiv envelope induces a highly durable polyfunctional fc-mediated antibody response in rhesus macaques,Powell RL,10.1128/JVI.01175-20,2020,NR,,0,,,,,
diverse effects of interferon alpha on the establishment and reversal of hiv latency,Van der Sluis RM,10.1371/journal.ppat.1008151,2020,NR,,0,,,,,
cross-reactive cd8 t-cell responses elicited by adenovirus type 5-based hiv-1 vaccines contributed to early viral evolution in vaccine recipients who became infected,Boppana S,10.1128/JVI.01632-19,2020,NR,,0,,,,,
a universal car-nk cell targeting various epitopes of hiv-1 gp160,Lim RM,10.1021/acschembio.0c00537,2020,NR,,0,,,,,
arthropod bite-like eruption as rare presentation of secondary syphilis in an hiv-infected patient,Chen CY,10.4103/ijd.IJD_522_18,2020,NR,,0,,,,,
"belief, covariates, and impact of the ""undetectable = untransmittable"" message among people living with hiv in australia",Huntingdon B,10.1089/apc.2019.0300,2020,NR,,0,,,,,
blood and lymph node dissemination of clonal genome-intact human immunodeficiency virus 1 dna sequences during suppressive antiretroviral therapy,Kuo HH,10.1093/infdis/jiaa137,2020,NR,,0,,,,,
blood bacterial profiles associated with hiv infection and immune recovery,Serrano-Villar S,10.1093/infdis/jiaa379,2020,NR,,0,,,,,
bridging the digital divide among racial and ethnic minority men who have sex with men to reduce substance use and hiv risk: mixed methods feasibility study,Hsiang E,10.2196/15282,2020,NR,,0,,,,,
